Sample,Type,Site,Site_Name,Status,Morph,Length,Type_2
Astfood_Z_12,Z,Site 2,Luenga,alive,E,32,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,19,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,32,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,22,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,30,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,23,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,16,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,24,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,32,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,27,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,27,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,21,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,17,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,14,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,23,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,21,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,23,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,18,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,12,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,15,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,13,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,12,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,12,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,19,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,17,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,T,44,Stage 3
